shedno,seqno,ridge,elev,drec,seqno_shed,drec_shed,upslope,initial_shed,row,col,missing,buffer,elev_orig,edge_map,ddir,flatcell,data,vol2fl,mm2fl,parea,elev_diff,local_shed,local_ddir,local_elev_diff
,1,,,,1,,0,,1,1,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,2,,,,2,,0,,1,2,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,3,,,,3,,0,,1,3,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,4,,,,4,,0,,1,4,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,5,,,,5,,0,,1,5,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,6,,,,6,,0,,1,6,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,7,,,,7,,0,,1,7,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,8,,,,8,,0,,1,8,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,9,,,,9,,0,,1,9,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,10,,,,10,,0,,1,10,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,11,,,,11,,0,,1,11,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,12,,,,12,,0,,1,12,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,13,,,,13,,0,,1,13,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,14,,,,14,,0,,1,14,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,15,,,,15,,0,,1,15,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,16,,,,16,,0,,1,16,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,17,,,,17,,0,,1,17,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,18,,,,18,,0,,1,18,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,19,,,,19,,0,,1,19,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,20,,,,20,,0,,1,20,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,21,,,,21,,0,,1,21,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,22,,,,22,,0,,1,22,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,23,,,,23,,0,,1,23,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,24,,,,24,,0,,1,24,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,25,,,,25,,0,,1,25,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,26,,,,26,,0,,1,26,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,27,,,,27,,0,,1,27,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,28,,,,28,,0,,1,28,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,29,,,,29,,0,,1,29,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,30,,,,30,,0,,1,30,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,31,,,,31,,0,,1,31,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,32,,,,32,,0,,1,32,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,33,,,,33,,0,,1,33,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,34,,,,34,,0,,1,34,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,35,,,,35,,0,,1,35,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,36,,,,36,,0,,1,36,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,37,,,,37,,0,,1,37,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,38,,,,38,,0,,1,38,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,39,,,,39,,0,,1,39,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,40,,,,40,,0,,1,40,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,41,,,,41,,0,,1,41,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,42,,,,42,,0,,1,42,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,43,,,,43,,0,,1,43,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,44,,,,44,,0,,1,44,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,45,,,,45,,0,,1,45,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,46,,,,46,,0,,1,46,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,47,,,,47,,0,,1,47,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,48,,,,48,,0,,1,48,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,49,,,,49,,0,,1,49,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,50,,,,50,,0,,1,50,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,51,,,,51,,0,,1,51,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,52,,,,52,,0,,1,52,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,53,,,,53,,0,,1,53,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,54,,,,54,,0,,1,54,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,55,,,,55,,0,,1,55,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,56,,,,56,,0,,1,56,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,57,,,,57,,0,,1,57,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,58,,,,58,,0,,1,58,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,59,,,,59,,0,,1,59,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,60,,,,60,,0,,1,60,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,61,,,,61,,0,,1,61,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,62,,,,62,,0,,1,62,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,63,,,,63,,0,,1,63,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,64,,,,64,,0,,1,64,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,65,,,,65,,0,,1,65,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,66,,,,66,,0,,1,66,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,67,,,,67,,0,,1,67,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,68,,,,68,,0,,1,68,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,69,,,,69,,0,,1,69,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,70,,,,70,,0,,1,70,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,71,,,,71,,0,,1,71,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,72,,,,72,,0,,1,72,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,73,,,,73,,0,,1,73,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,74,,,,74,,0,,1,74,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,75,,,,75,,0,,1,75,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,76,,,,76,,0,,1,76,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,77,,,,77,,0,,1,77,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,78,,,,78,,0,,1,78,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,79,,,,79,,0,,1,79,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,80,,,,80,,0,,1,80,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,81,,,,81,,0,,1,81,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,82,,,,82,,0,,1,82,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,83,,,,83,,0,,1,83,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,84,,,,84,,0,,1,84,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,85,,,,85,,0,,1,85,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,86,,,,86,,0,,1,86,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,87,,,,87,,0,,1,87,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,88,,,,88,,0,,1,88,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,89,,,,89,,0,,1,89,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,90,,,,90,,0,,1,90,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,91,,,,91,,0,,1,91,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,92,,,,92,,0,,1,92,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
,93,,,,93,,0,,2,1,,True,,True,,False,-9999,0.0,0.0,0.0,0.0,,,0.0
8,94,True,679.974,95,1,2,1,1,2,2,False,False,679.974,True,6,False,-9999,0.0,0.0,0.0,0.0,8,6,0.0
8,95,True,679.953,96,2,3,2,1,2,3,False,False,679.953,True,6,False,-9999,0.0,0.0,0.0,0.02100000000007185,8,6,0.02100000000007185
8,96,False,679.897,97,3,4,3,1,2,4,False,False,679.897,True,6,False,-9999,0.0,0.0,0.0,0.07699999999999818,8,6,0.07699999999999818
8,97,False,679.811,98,4,5,4,1,2,5,False,False,679.811,True,6,False,-9999,0.0,0.0,0.0,0.16300000000001091,8,6,0.16300000000001091
8,98,False,679.705,99,5,6,5,1,2,6,False,False,679.705,True,6,False,-9999,0.0,0.0,0.0,0.26900000000000546,8,6,0.26900000000000546
8,99,False,679.583,100,6,7,6,1,2,7,False,False,679.583,True,6,False,-9999,0.0,0.0,0.0,0.3910000000000764,8,6,0.3910000000000764
8,100,False,679.443,101,7,8,7,1,2,8,False,False,679.443,True,6,False,-9999,0.0,0.0,0.0,0.5310000000000628,8,6,0.5310000000000628
8,101,False,679.292,102,8,9,8,1,2,9,False,False,679.292,True,6,False,-9999,0.0,0.0,0.0,0.6820000000000164,8,6,0.6820000000000164
8,102,False,679.13,103,9,10,9,1,2,10,False,False,679.13,True,6,False,-9999,0.0,0.0,0.0,0.8440000000000509,8,6,0.8440000000000509
8,103,False,678.954,104,10,11,10,1,2,11,False,False,678.954,True,6,False,-9999,0.0,0.0,0.0,1.0200000000000955,8,6,1.0200000000000955
8,104,False,678.774,105,11,12,11,1,2,12,False,False,678.774,True,6,False,-9999,0.0,0.0,0.0,1.2000000000000455,8,6,1.2000000000000455
8,105,False,678.592,106,12,13,12,1,2,13,False,False,678.592,True,6,False,-9999,0.0,0.0,0.0,1.3820000000000618,8,6,1.3820000000000618
8,106,False,678.411,199,13,67,13,1,2,14,False,False,678.411,True,3,False,-9999,0.0,0.0,0.0,1.5630000000001019,8,3,1.5630000000001019
8,107,False,678.233,200,14,68,1,1,2,15,False,False,678.233,True,3,False,-9999,0.0,0.0,0.0,0.0,8,3,0.0
8,108,False,678.059,201,15,69,1,1,2,16,False,False,678.059,True,3,False,-9999,0.0,0.0,0.0,0.0,8,3,0.0
8,109,False,677.883,202,16,70,1,1,2,17,False,False,677.883,True,3,False,-9999,0.0,0.0,0.0,0.0,8,3,0.0
8,110,False,677.707,203,17,71,1,1,2,18,False,False,677.707,True,3,False,-9999,0.0,0.0,0.0,0.0,8,3,0.0
8,111,False,677.52,204,18,72,1,1,2,19,False,False,677.52,True,3,False,-9999,0.0,0.0,0.0,0.0,8,3,0.0
8,112,False,677.323,113,19,20,1,1,2,20,False,False,677.323,True,6,False,-9999,0.0,0.0,0.0,0.0,8,6,0.0
8,113,False,677.123,114,20,21,2,1,2,21,False,False,677.123,True,6,False,-9999,0.0,0.0,0.0,0.1999999999999318,8,6,0.1999999999999318
8,114,False,676.923,115,21,22,3,1,2,22,False,False,676.923,True,6,False,-9999,0.0,0.0,0.0,0.39999999999997726,8,6,0.39999999999997726
8,115,False,676.734,116,22,23,4,1,2,23,False,False,676.734,True,6,False,-9999,0.0,0.0,0.0,0.5889999999999418,8,6,0.5889999999999418
8,116,False,676.573,117,23,24,5,1,2,24,False,False,676.573,True,6,False,-9999,0.0,0.0,0.0,0.75,8,6,0.75
8,117,False,676.443,118,24,25,6,1,2,25,False,False,676.443,True,6,False,-9999,0.0,0.0,0.0,0.8799999999999955,8,6,0.8799999999999955
8,118,False,676.338,119,25,26,7,1,2,26,False,False,676.338,True,6,False,-9999,0.0,0.0,0.0,0.9850000000000136,8,6,0.9850000000000136
8,119,False,676.257,120,26,27,8,1,2,27,False,False,676.257,True,6,False,-9999,0.0,0.0,0.0,1.066000000000031,8,6,1.066000000000031
8,120,False,676.193,121,27,28,9,1,2,28,False,False,676.193,True,6,False,-9999,0.0,0.0,0.0,1.1299999999999955,8,6,1.1299999999999955
8,121,False,676.136,214,28,82,10,1,2,29,False,False,676.136,True,3,False,-9999,0.0,0.0,0.0,1.1870000000000118,8,3,1.1870000000000118
