shedno,shed_area,edge_pit,pit_area,pit_vol,pit_elev,pit_seqno,pit_row,pit_col,pre_vol,varatio,pour_elev,in_seqno,in_row,in_col,in_elev,out_seqno,out_row,out_col,out_elev,drains_to,pond_shed,edge_pit_out,pit_elev_out,pit_seqno_out,pour_elev_out,next_pit,end_pit,removed,becomes,final
3,1392.0,False,136.0,39.944999999998345,672.747,2745,30,77,0.0,28.69612068965398,673.462,2276,25,68,673.462,2367,26,67,673.45,8,11,True,669.989,7766.0,671.298,8,11,False,11,False
8,4000.0,True,375.0,146.41199999999833,669.989,7766,85,38,0.0,36.60299999999958,671.298,8328,91,48,671.298,8329,91,49,671.297,9,11,True,671.297,8329.0,671.298,9,11,False,11,False
2,1679.0,True,33.0,2.0460000000009586,671.28,6442,71,2,0.0,1.2185824895777002,671.422,7454,82,2,671.422,7546,83,2,671.417,10,2,True,670.913,8282.0,671.422,10,2,False,2,True
5,77.0,True,24.0,2.5479999999989786,675.696,156,2,64,0.0,33.09090909089583,675.978,524,6,64,675.978,616,7,64,675.971,8,5,True,669.989,7766.0,671.298,11,5,False,5,True
7,652.0,True,62.0,14.354000000001406,672.244,8351,91,71,0.0,22.01533742331504,672.874,8252,90,64,672.859,8343,91,63,672.874,9,7,True,671.297,8329.0,671.298,9,7,False,7,True
9,115.0,True,1.0,0.0009999999999763531,671.297,8329,91,49,0.0,0.008695652173707418,671.298,8329,91,49,671.297,8328,91,48,671.298,8,9,True,669.989,7766.0,671.298,11,9,False,9,True
10,185.0,True,45.0,7.718000000000984,670.913,8282,91,2,0.0,41.71891891892424,671.422,7546,83,2,671.417,7454,82,2,671.422,2,10,True,671.28,6442.0,671.422,2,10,False,10,True
11,5392.0,True,375.0,146.41199999999833,669.989,7766,85,38,0.0,27.153560830860226,671.298,8328,91,48,671.298,8329,91,49,671.297,9,11,True,671.297,8329.0,671.298,9,11,False,11,True
