shedno,shed_area,edge_pit,pit_area,pit_vol,pit_elev,pit_seqno,pit_row,pit_col,pre_vol,varatio,pour_elev,in_seqno,in_row,in_col,in_elev,out_seqno,out_row,out_col,out_elev,drains_to,edge_pit_out,pit_elev_out,pit_seqno_out,pour_elev_out
2,2109,False,383,253.27099999999143,3.7590000000000146,5611,61,91,0,120.09056424845492,5.427000000000021,3679,40,91,5.427000000000021,3587,39,91,5.426000000000045,9,True,5.143000000000029,3035.0,5.235000000000014
4,521,False,194,75.24900000000878,5.415000000000077,3474,38,70,0,144.4318618042395,6.323000000000093,4762,52,70,6.323000000000093,4854,53,70,6.323000000000093,2,True,3.7590000000000146,5611.0,5.427000000000021
5,4268,False,816,1064.7280000000112,0.0,94,2,2,0,249.46766635426692,4.060000000000059,130,2,38,4.060000000000059,131,2,39,4.059000000000083,11,True,4.024000000000001,135.0,4.036000000000058
7,719,False,291,366.53900000001374,1.0920000000000982,183,2,91,0,509.78998609181326,3.9960000000000946,525,6,65,3.9880000000000564,524,6,64,3.9960000000000946,10,True,3.719000000000051,147.0,3.9960000000000946
9,80,False,7,0.33399999999971897,5.143000000000029,3035,33,91,0,4.174999999996487,5.235000000000014,2667,29,91,5.235000000000014,2575,28,91,5.225999999999999,7,True,1.0920000000000982,183.0,3.9960000000000946
10,340,False,73,9.578000000003726,3.719000000000051,147,2,55,0,28.17058823530508,3.9960000000000946,524,6,64,3.9960000000000946,525,6,65,3.9880000000000564,7,True,1.0920000000000982,183.0,3.9960000000000946
11,63,False,4,0.030000000000086402,4.024000000000001,135,2,43,0,0.4761904761918477,4.036000000000058,137,2,45,4.0330000000000155,138,2,46,4.036000000000058,10,True,3.719000000000051,147.0,3.9960000000000946
