shedno,shed_area,edge_pit,pit_area,pit_vol,pit_elev,pit_seqno,pit_row,pit_col,pre_vol,varatio,pour_elev,in_seqno,in_row,in_col,in_elev,out_seqno,out_row,out_col,out_elev,drains_to,edge_pit_out,pit_elev_out,pit_seqno_out,pour_elev_out
2,1679,True,33,2.0460000000009586,671.28,6211.0,70,1,0,1.2185824895777002,671.422,7201.0,81,1,671.422,7291.0,82,1,671.417,10,True,670.913,8011.0,671.422
3,1392,False,136,39.944999999998345,672.747,2596.0,29,76,0,28.69612068965398,673.462,2137.0,24,67,673.462,2226.0,25,66,673.45,8,True,669.989,7507.0,671.298
5,77,True,24,2.547999999998978,675.696,63.0,1,63,0,33.09090909089583,675.978,423.0,5,63,675.978,513.0,6,63,675.971,8,True,669.989,7507.0,671.298
7,652,True,62,14.354000000001406,672.244,8080.0,90,70,0,22.01533742331504,672.874,7983.0,89,63,672.859,8072.0,90,62,672.874,9,True,671.297,8058.0,671.298
8,4000,True,375,146.41199999999833,669.989,7507.0,84,37,0,36.60299999999958,671.298,8057.0,90,47,671.298,8058.0,90,48,671.297,9,True,671.297,8058.0,671.298
9,115,True,1,0.0009999999999763,671.297,8058.0,90,48,0,0.0086956521737074,671.298,8058.0,90,48,671.297,8057.0,90,47,671.298,8,True,669.989,7507.0,671.298
10,185,True,45,7.718000000000984,670.913,8011.0,90,1,0,41.71891891892424,671.422,7291.0,82,1,671.417,7201.0,81,1,671.422,2,True,671.28,6211.0,671.422
