shedno,shed_area,edge_pit,pit_area,pit_vol,pit_elev,pit_seqno,pit_row,pit_col,pre_vol,varatio,pour_elev,in_seqno,in_row,in_col,in_elev,out_seqno,out_row,out_col,out_elev,drains_to,edge_pit_out,pit_elev_out,pit_seqno_out,pour_elev_out
2,2109,False,383,253.27099999999143,3.759000000000015,5400.0,60,90,0,120.09056424845492,5.427000000000021,3510.0,39,90,5.427000000000021,3420.0,38,90,5.426000000000045,9,True,5.143000000000029,2880.0,5.235000000000014
4,521,False,194,75.24900000000878,5.415000000000077,3309.0,37,69,0,144.4318618042395,6.323000000000093,4569.0,51,69,6.323000000000093,4659.0,52,69,6.323000000000093,2,True,3.759000000000015,5400.0,5.427000000000021
5,4268,False,816,1064.7280000000112,0.0,1.0,1,1,0,249.46766635426687,4.060000000000059,37.0,1,37,4.060000000000059,38.0,1,38,4.059000000000083,11,True,4.024000000000001,42.0,4.036000000000058
7,719,False,291,366.53900000001374,1.0920000000000982,90.0,1,90,0,509.78998609181326,3.996000000000095,424.0,5,64,3.988000000000056,423.0,5,63,3.996000000000095,10,True,3.719000000000051,54.0,3.996000000000095
9,80,False,7,0.3339999999997189,5.143000000000029,2880.0,32,90,0,4.174999999996487,5.235000000000014,2520.0,28,90,5.235000000000014,2430.0,27,90,5.225999999999999,7,True,1.0920000000000982,90.0,3.996000000000095
10,340,False,73,9.578000000003726,3.719000000000051,54.0,1,54,0,28.17058823530508,3.996000000000095,423.0,5,63,3.996000000000095,424.0,5,64,3.988000000000056,7,True,1.0920000000000982,90.0,3.996000000000095
11,63,False,4,0.0300000000000864,4.024000000000001,42.0,1,42,0,0.4761904761918477,4.036000000000058,44.0,1,44,4.033000000000016,45.0,1,45,4.036000000000058,10,True,3.719000000000051,54.0,3.996000000000095
